timestamp,open,high,low,close,volume
2022-11-10,135,135,135,135,45581500
2022-11-11,182,182,134,145,264005200
2022-11-14,244,244,196,202,562685400
2022-11-15,302,304,244,250,469691300
2022-11-16,282,358,282,282,445355300
2022-11-17,264,326,264,264,408844500
2022-11-18,246,304,246,286,78168900
2022-11-21,238,256,230,244,184727400
2022-11-22,246,260,232,242,133668700
2022-11-23,234,254,234,248,36154200
2022-11-24,220,236,218,220,41920500
2022-11-25,238,240,206,206,97447800
2022-11-28,222,276,222,238,210156000
2022-11-29,208,238,208,222,120183900
2022-11-30,194,216,194,208,151211700
2022-12-01,181,196,181,194,198116900
2022-12-02,169,180,169,173,89617000
2022-12-05,173,178,158,167,318609400
2022-12-06,161,176,161,174,38999900
2022-12-07,150,161,150,161,72723000
2022-12-08,140,140,140,140,4275500
2022-12-09,131,131,131,131,7396300
2022-12-12,122,137,122,122,154213100
2022-12-13,122,129,114,114,100790800
2022-12-14,134,146,119,125,299907000
2022-12-15,146,148,134,135,128894100
2022-12-16,138,148,138,146,36497700
2022-12-19,131,144,130,138,25840600
2022-12-20,136,145,129,131,76649600
2022-12-21,132,139,130,139,17888800
2022-12-22,136,142,132,132,34853600
2022-12-23,132,140,132,137,17154200
2022-12-26,141,157,133,133,180616600
2022-12-27,140,146,138,142,47209400
2022-12-28,132,145,132,142,47527100
2022-12-29,123,133,123,130,61476200
2022-12-30,115,121,115,119,44873200
2023-01-02,120,127,110,115,207998700
2023-01-03,121,125,120,121,81945900
2023-01-04,117,122,115,122,27442700
2023-01-05,113,122,110,117,28032200
2023-01-06,112,115,110,114,22151200
2023-01-09,106,117,105,117,30966300
2023-01-10,99,107,99,99,33723300
2023-01-11,110,112,93,93,76574600
2023-01-12,103,112,103,112,30886400
2023-01-13,101,108,96,103,25439000
2023-01-16,99,102,97,99,9367200
2023-01-17,93,103,93,100,35082000
2023-01-18,87,93,87,93,33912500
2023-01-19,81,81,81,81,8398100
2023-01-20,76,78,76,78,4268900
2023-01-24,71,71,71,71,5414400
2023-01-25,67,67,67,67,2081300
2023-01-26,63,63,63,63,4170700
2023-01-27,59,59,59,59,1330600
2023-01-30,55,55,55,55,5665300
2023-01-31,55,55,55,55,0
2023-02-01,52,52,52,52,5396100
2023-02-02,50,50,50,50,8320600
2023-02-03,50,50,50,50,15788900
2023-02-06,50,50,50,50,9789800
2023-02-07,67,67,50,50,425898600
2023-02-08,88,90,70,74,481435900
2023-02-09,85,106,82,88,458374400
2023-02-10,85,94,81,86,163407300
2023-02-13,81,88,81,86,74410200
2023-02-14,81,87,79,82,105633100
2023-02-15,78,83,76,81,32193900
2023-02-16,73,81,73,73,37010100
2023-02-17,68,74,68,68,31683500
2023-02-20,69,74,67,68,90536900
2023-02-21,65,70,65,69,28354300
2023-02-22,61,68,61,61,39011800
2023-02-23,59,62,57,61,28916200
2023-02-24,57,62,57,59,39076100
2023-02-27,76,76,56,56,250635000
2023-02-28,77,88,76,80,425137200
2023-03-01,72,80,72,78,87031100
2023-03-02,67,73,67,67,50816800
2023-03-03,72,79,64,64,224996200
2023-03-06,70,76,69,73,81549600
2023-03-07,75,76,68,71,89883600
2023-03-08,70,77,70,76,63969700
2023-03-09,69,72,68,71,38973200
2023-03-10,68,70,66,69,29351300
2023-03-13,67,71,66,68,26534400
2023-03-14,63,68,63,67,25739800
2023-03-15,64,67,62,63,19450600
2023-03-16,60,65,60,64,34651500
2023-03-17,58,63,56,60,42986900
2023-03-20,72,76,58,59,280751300
2023-03-21,67,78,67,73,112317300
2023-03-24,70,75,67,67,99524000
2023-03-27,78,83,71,71,268050100
2023-03-28,73,80,73,79,88763300
2023-03-29,72,77,72,76,49839100
2023-03-30,75,78,72,75,95248100
2023-03-31,73,77,70,76,49845500
2023-04-03,70,74,69,73,46325500
2023-04-04,67,72,66,70,36758800
2023-04-05,66,69,65,67,24349400
2023-04-06,70,74,66,67,154143500
2023-04-10,69,75,67,71,87317900
2023-04-11,67,71,66,69,41873500
2023-04-12,66,68,66,67,12894700
2023-04-13,66,70,66,67,29643500
2023-04-14,65,68,64,67,16737500
2023-04-17,62,66,61,65,41140200
2023-04-18,59,63,59,62,19667500
2023-04-26,60,63,59,60,26883800
2023-04-27,60,61,58,60,14512000
2023-04-28,56,60,56,59,43185000
2023-05-02,59,60,56,57,33728200
2023-05-03,57,59,56,59,13845500
2023-05-04,57,60,56,57,27547100
2023-05-05,55,58,54,57,21336900
2023-05-08,52,55,52,55,42617200
2023-05-09,50,53,50,52,42551700
2023-05-10,52,55,50,50,54885800
2023-05-11,51,55,51,52,32250500
2023-05-12,50,52,50,51,15532600
2023-05-15,50,51,50,51,11769200
2023-05-16,50,51,50,50,21891600
2023-05-17,50,50,50,50,1474600
2023-05-19,50,50,50,50,493800
2023-05-22,50,50,50,50,2270000
2023-05-23,50,50,50,50,1262200
2023-05-24,50,50,50,50,418700
2023-05-25,50,50,50,50,368900
2023-05-26,50,50,50,50,326100
2023-05-29,50,50,50,50,219800
2023-05-30,50,50,50,50,927700
2023-05-31,50,50,50,50,182200
2023-06-05,50,50,50,50,173100
2023-06-06,50,50,50,50,509700
2023-06-07,50,50,50,50,77500
2023-06-08,50,50,50,50,78600
2023-06-09,50,50,50,50,13300
2023-06-12,50,50,50,50,26400
2023-06-13,50,50,50,50,29600
2023-06-14,50,50,50,50,63800
2023-06-15,50,50,50,50,251600
2023-06-16,50,50,50,50,47800
2023-06-19,50,50,50,50,745100
2023-06-20,50,50,50,50,78400
2023-06-21,50,50,50,50,70200
2023-06-22,50,50,50,50,85900
2023-06-23,50,50,50,50,77400
2023-06-26,50,50,50,50,238300
2023-06-27,50,50,50,50,20200
2023-07-03,50,50,50,50,75000
2023-07-04,50,50,50,50,9800
2023-07-05,50,50,50,50,34900
2023-07-06,50,50,50,50,38600
2023-07-07,50,50,50,50,4300
2023-07-10,50,50,50,50,115400
2023-07-11,50,50,50,50,67100
2023-07-12,50,50,50,50,22700
2023-07-13,50,50,50,50,9400
2023-07-14,50,50,50,50,14500
2023-07-17,50,50,50,50,73800
2023-07-18,50,50,50,50,7900
2023-07-20,50,50,50,50,84200
2023-07-21,50,50,50,50,5600
2023-07-24,50,50,50,50,67400
2023-07-25,50,50,50,50,14900
2023-07-26,50,50,50,50,43400
2023-07-27,50,50,50,50,4100
2023-07-28,50,50,50,50,7100
2023-07-31,50,50,50,50,13500
2023-08-01,50,50,50,50,15700
2023-08-02,50,50,50,50,25300
2023-08-03,50,50,50,50,9400
2023-08-04,50,50,50,50,19900
2023-08-07,50,50,50,50,252100
2023-08-08,50,50,50,50,114000
2023-08-09,50,50,50,50,35400
2023-08-10,50,50,50,50,1400
2023-08-11,50,50,50,50,39700
2023-08-14,50,50,50,50,526600
2023-08-15,50,50,50,50,15100
