timestamp,open,high,low,close,volume
2021-05-24,159,159,159,159,88600
2021-05-25,214,214,214,214,3843400
2021-05-27,266,266,218,266,139171200
2021-05-28,266,326,248,274,117880800
2021-05-31,248,266,248,266,50883900
2021-06-02,232,240,232,240,49703600
2021-06-03,216,216,216,216,52906900
2021-06-04,202,202,202,202,39296600
2021-06-07,188,188,188,188,24430900
2021-06-08,189,220,175,188,198397500
2021-06-09,178,204,176,190,59853000
2021-06-10,175,184,167,179,36511700
2021-06-11,175,183,170,179,12028100
2021-06-14,177,185,171,175,49754400
2021-06-15,176,180,173,177,4555300
2021-06-16,168,176,165,175,5894000
2021-06-17,204,218,167,168,68769000
2021-06-18,190,204,190,204,21216200
2021-06-21,181,198,181,190,4079800
2021-06-22,184,194,176,181,4326800
2021-06-23,180,184,180,184,1894600
2021-06-24,178,193,178,180,1812500
2021-06-25,176,183,176,178,972300
2021-06-28,166,182,166,182,2355800
2021-06-29,155,166,155,156,4028600
2021-06-30,149,161,145,153,2791700
2021-07-01,141,150,140,150,1833400
2021-07-02,142,151,141,141,2559700
2021-07-05,142,145,141,142,861900
2021-07-06,139,142,136,142,1868400
2021-07-07,138,141,133,138,11853700
2021-07-08,136,139,129,138,58994200
2021-07-09,127,136,127,136,48626800
2021-07-12,120,131,119,127,6091600
2021-07-13,116,120,115,118,3394500
2021-07-14,108,119,108,112,4858000
2021-07-15,118,118,101,101,2232800
2021-07-16,118,121,111,118,1791200
2021-07-19,119,124,113,118,2415700
2021-07-21,157,160,115,120,41282800
2021-07-22,210,210,157,159,139818400
2021-07-23,197,240,196,220,72157900
2021-07-26,184,206,184,190,27363300
2021-07-27,172,184,172,184,9225500
2021-07-28,180,185,160,163,14481800
2021-07-29,214,224,180,182,50372800
2021-07-30,218,246,210,220,62488100
2021-08-02,204,230,204,218,28768600
2021-08-03,200,220,191,204,38642100
2021-08-04,194,204,194,200,4797700
2021-08-05,184,214,181,194,23262200
2021-08-06,182,191,176,184,4762300
2021-08-09,178,187,173,184,5347200
2021-08-10,166,208,166,178,629266000
2021-08-12,155,155,155,155,3481200
2021-08-13,145,145,145,145,1727000
2021-08-16,135,139,135,135,18218300
2021-08-18,126,126,126,126,5027400
2021-08-19,133,138,118,118,134158000
2021-08-20,179,179,134,134,643370300
2021-08-23,179,210,167,182,574946900
2021-08-24,167,212,167,178,603447800
2021-08-25,156,172,156,165,91131500
2021-08-26,146,159,146,146,119876600
2021-08-27,140,156,138,146,89153600
2021-08-30,142,152,140,141,37673500
2021-08-31,142,146,135,142,31017100
2021-09-01,156,156,139,144,102074400
2021-09-02,149,162,149,158,134717900
2021-09-03,139,160,139,150,276398200
2021-09-06,130,133,130,130,24108100
2021-09-07,134,135,121,122,66546400
2021-09-08,126,136,125,134,35916100
2021-09-09,125,132,123,128,20271900
2021-09-10,122,128,119,125,17237300
2021-09-13,124,129,122,123,18571100
2021-09-14,129,132,123,125,33110200
2021-09-15,138,152,127,130,295062300
2021-09-16,134,147,134,140,92541200
2021-09-17,133,139,130,134,30029200
2021-09-20,131,135,130,134,11660600
2021-09-21,129,133,126,130,14050000
2021-09-22,130,136,129,129,31078900
2021-09-23,131,135,130,131,22990000
2021-09-24,128,134,127,133,12718500
2021-09-27,127,130,127,130,10244600
2021-09-28,124,130,123,127,22257400
2021-09-29,125,130,122,124,24064900
2021-09-30,125,128,125,125,8134800
2021-10-01,125,129,124,125,15753800
2021-10-04,122,126,122,126,14045300
2021-10-05,124,128,122,122,19942100
2021-10-06,129,136,122,125,145311100
2021-10-07,127,135,126,130,46549800
2021-10-08,124,131,124,129,11701800
2021-10-11,116,139,116,124,687330700
2021-10-12,108,116,108,108,129072900
2021-10-13,110,118,101,101,293539900
2021-10-14,104,111,104,110,40396400
2021-10-15,104,107,103,104,13900000
2021-10-18,104,109,102,105,25182500
2021-10-19,104,108,104,104,13240200
2021-10-21,103,105,102,104,10750800
2021-10-22,102,104,101,103,8923500
2021-10-25,102,105,102,102,11269700
2021-10-26,102,104,101,104,7050400
2021-10-27,102,105,102,102,10999300
2021-10-28,103,104,101,102,8537200
2021-10-29,105,106,103,103,18200100
2021-11-01,103,107,102,107,13431400
2021-11-02,102,104,102,103,5591000
2021-11-03,102,104,102,102,4810400
2021-11-04,102,104,102,102,5779800
2021-11-05,104,110,102,102,74342100
2021-11-08,105,108,102,105,23105600
2021-11-09,104,106,104,105,8616100
2021-11-10,103,106,103,105,7822900
2021-11-11,103,105,103,104,6001100
2021-11-12,103,104,102,103,6309700
2021-11-15,96,103,96,103,23228800
2021-11-16,94,97,91,97,12564900
2021-11-17,90,94,89,94,14064100
2021-11-18,100,107,90,90,91395200
2021-11-19,98,101,96,101,12382100
2021-11-22,94,100,92,98,16532700
2021-11-23,92,95,92,94,4731700
2021-11-24,94,100,91,92,30122500
2021-11-25,93,96,92,95,6250400
2021-11-26,92,94,91,93,4725100
2021-11-29,89,92,86,92,10694400
2021-11-30,89,92,87,89,5182800
2021-12-01,87,90,86,89,3066100
2021-12-02,84,88,83,87,6437700
2021-12-03,85,88,83,84,4587000
2021-12-06,86,88,80,80,2811900
2021-12-07,86,87,84,86,3113000
2021-12-08,85,88,81,81,4154000
2021-12-09,89,90,81,81,9589700
2021-12-10,90,94,85,85,12231100
2021-12-13,90,92,89,90,4631800
2021-12-14,90,94,88,90,6444700
2021-12-15,89,93,87,91,5680500
2021-12-16,87,91,85,89,5660000
2021-12-17,85,88,85,87,1823700
2021-12-20,86,90,85,86,5262400
2021-12-21,86,87,84,87,2600400
2021-12-22,85,87,84,86,3378100
2021-12-23,84,86,83,86,2715800
2021-12-24,85,91,84,84,18258700
2021-12-27,86,87,82,86,7024700
2021-12-28,86,90,85,86,8178300
2021-12-29,87,88,85,86,2982700
2021-12-30,85,88,84,88,3456700
2022-01-03,84,86,83,86,2319800
2022-01-04,84,84,83,84,2882700
2022-01-05,82,85,82,84,2399800
2022-01-06,81,84,80,83,2234400
2022-01-07,81,86,81,82,5553200
2022-01-10,80,82,79,81,4565600
2022-01-11,78,86,78,80,3708300
2022-01-12,74,80,74,79,4324900
2022-01-13,73,74,70,74,5523500
2022-01-14,71,74,71,73,2328500
2022-01-17,73,74,71,71,2833500
2022-01-18,73,76,72,74,3369600
2022-01-19,73,75,72,74,1432900
2022-01-20,73,76,72,74,3972700
2022-01-21,78,86,73,73,28525100
2022-01-24,76,79,75,79,5365500
2022-01-25,73,79,71,77,5437800
2022-01-26,71,75,69,73,5219600
2022-01-27,72,74,71,72,1786000
2022-01-28,72,73,71,72,2229100
2022-01-31,73,78,71,72,6225500
2022-02-02,74,77,73,74,3421800
2022-02-03,75,76,73,74,2003400
2022-02-04,74,79,74,76,2921100
2022-02-07,73,75,71,75,4090100
2022-02-08,73,75,72,73,3288200
2022-02-09,73,75,71,74,4189400
2022-02-10,73,74,72,73,3224600
2022-02-11,76,77,73,73,7033200
2022-02-14,78,79,73,76,7632300
2022-02-15,76,80,76,79,4463800
2022-02-16,80,81,72,76,21713900
2022-02-17,79,81,78,81,2648100
2022-02-18,76,79,75,79,5335900
2022-02-21,76,77,73,77,1687800
2022-02-22,77,78,73,75,4042100
2022-02-23,76,77,74,77,4440800
2022-02-24,73,76,71,76,5627300
2022-02-25,73,74,72,73,1659500
2022-03-01,73,74,72,74,1087200
2022-03-02,71,73,70,73,1953900
2022-03-04,70,73,70,71,1682000
2022-03-07,71,72,69,70,3989200
2022-03-08,70,72,70,72,1565400
2022-03-09,72,73,70,71,2121100
2022-03-10,72,73,71,72,964300
2022-03-11,71,74,70,72,1395600
2022-03-14,70,72,70,71,778500
2022-03-15,72,74,70,70,7589500
2022-03-16,71,74,71,73,3643900
2022-03-17,72,73,70,71,1863600
2022-03-18,71,72,70,72,1762800
2022-03-21,71,72,70,71,948800
2022-03-22,71,72,70,71,3016100
2022-03-23,70,71,70,70,2069300
2022-03-24,71,71,70,70,1023800
2022-03-25,70,72,70,71,1820700
2022-03-28,72,73,71,71,3784300
2022-03-29,75,75,73,73,2908500
2022-03-30,77,79,75,75,15252000
2022-03-31,77,79,77,78,5537900
2022-04-01,78,78,76,77,8426400
2022-04-04,82,83,77,78,10649900
2022-04-05,78,83,77,82,13425500
2022-04-06,77,81,76,80,4730600
2022-04-07,91,94,75,79,80450400
2022-04-08,89,96,87,91,28504900
2022-04-11,94,94,88,89,17216200
2022-04-12,94,100,93,94,21448600
2022-04-13,92,96,89,94,5106600
2022-04-14,124,124,90,93,150213700
2022-04-18,167,167,124,126,200208300
2022-04-19,187,212,169,175,553139300
2022-04-20,230,244,182,189,765077800
2022-04-21,230,230,230,230,0
2022-04-22,214,262,214,228,767388400
2022-04-25,200,214,200,200,19369100
2022-04-26,186,188,186,186,2135900
2022-04-27,173,174,173,173,3315600
2022-04-28,161,161,161,161,4897100
2022-05-09,182,196,150,159,379252300
2022-05-10,185,206,170,183,800289100
2022-05-11,189,199,175,187,284217200
2022-05-12,176,192,176,186,39041300
2022-05-13,198,224,176,176,348944300
2022-05-17,238,254,198,199,431985200
2022-05-18,238,238,238,238,0
2022-05-19,238,238,238,238,0
2022-05-20,238,238,238,238,0
2022-05-23,238,238,238,238,0
2022-05-24,222,252,222,222,134595800
2022-05-25,208,230,208,210,47984300
2022-05-27,194,208,194,208,13783400
2022-05-30,193,202,181,193,37261900
2022-05-31,180,195,180,194,165882100
2022-06-02,168,178,168,178,12846600
2022-06-03,164,176,157,168,142160100
2022-06-06,164,164,153,162,34045700
2022-06-07,153,170,153,170,19632000
2022-06-08,143,150,143,143,11902200
2022-06-09,136,143,133,143,32426300
2022-06-10,149,149,134,136,113634400
2022-06-13,153,159,139,159,54813200
2022-06-14,154,158,143,153,23513600
2022-06-15,150,158,148,158,8903700
2022-06-16,160,161,151,154,46532600
2022-06-17,160,164,155,160,76179200
2022-06-20,174,176,155,160,78199500
2022-06-21,177,180,166,176,62587600
2022-06-22,174,187,170,177,50399200
2022-06-23,178,179,170,176,17398700
2022-06-24,216,222,175,180,172206200
2022-06-27,202,228,202,218,177400500
2022-06-28,188,204,188,188,40974300
2022-06-29,175,202,175,189,67931200
2022-06-30,163,180,163,166,36920800
2022-07-01,165,179,152,165,90934800
2022-07-04,199,199,160,167,150371500
2022-07-05,186,212,186,200,76677800
2022-07-06,179,208,176,186,79041500
2022-07-07,167,180,167,179,43065500
2022-07-08,156,168,156,166,29747300
2022-07-11,146,159,146,153,85444100
2022-07-12,136,147,136,146,40805800
2022-07-13,127,136,127,136,63315500
2022-07-14,119,119,119,119,11436200
2022-07-15,111,111,111,111,14820300
2022-07-18,104,107,104,104,151398800
2022-07-19,97,101,97,97,73427700
2022-07-20,91,97,91,97,32576000
2022-07-21,85,93,85,86,106097400
2022-07-22,80,83,80,83,49317800
2022-07-25,75,79,75,78,140257900
2022-07-26,84,95,73,75,452569600
2022-07-27,81,84,79,84,81316100
2022-07-28,80,86,79,81,57116000
2022-07-29,79,82,79,81,35262800
2022-08-01,79,84,76,79,74917600
2022-08-02,76,80,75,80,40892000
2022-08-03,72,77,71,76,42305200
2022-08-04,73,75,72,72,26248100
2022-08-05,75,78,72,73,65202900
2022-08-08,74,76,73,75,17046500
2022-08-09,73,76,73,75,17311900
2022-08-10,71,75,70,75,31725400
2022-08-11,71,73,71,72,29173200
2022-08-12,70,72,69,72,28346300
2022-08-15,72,75,70,70,36672000
2022-08-16,74,76,72,73,48277700
2022-08-18,72,75,71,75,23637500
2022-08-19,72,73,71,72,10743700
2022-08-22,69,72,69,72,26894200
2022-08-23,70,71,69,69,10816200
2022-08-24,70,71,69,70,13443500
2022-08-25,69,72,66,70,30520100
2022-08-26,68,70,65,65,19010300
2022-08-29,70,73,66,68,42827200
2022-08-30,69,71,68,71,8835600
2022-08-31,69,70,68,69,6911500
2022-09-01,69,70,68,69,5250900
2022-09-02,68,70,68,69,5741600
2022-09-05,67,69,67,68,13175400
